mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP,mlb_team_abbr,mlb_team_name,mlb_full_name,mlb_primary_pos,mlb_bats,mlb_throws
678662,E. Tovar,RGS,MI,0,36,8,23,4,71,268,0.265,0,0,0,0,0.0,0.0,0,0.0,,Colorado Rockies,Ezequiel Tovar,SS,R,R
621121,G. Perdomo,,MI,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,,Houston Astros,Lance McCullers Jr.,P,L,R
691026,M. Winn,LDY,MI,0,69,9,50,9,120,470,0.255,0,0,0,0,0.0,0.0,0,0.0,,St. Louis Cardinals,Masyn Winn,SS,R,R
668930,B. Turang,TSH,MI,0,84,15,67,22,141,494,0.285,0,0,0,0,0.0,0.0,0,0.0,,Milwaukee Brewers,Brice Turang,2B,L,R
660271,S. Ohtani,,DH,0,120,44,110,34,180,550,0.310,1,0,44,15,32.33,4.18,39,1.21,,Los Angeles Dodgers,Shohei Ohtani,TWP,L,R
592885,C. Yelich,DDG,DH,0,81,27,92,15,133,492,0.27,0,0,0,0,0.0,0.0,0,0.0,,Milwaukee Brewers,Christian Yelich,LF,L,R
606466,K. Marte,SKD,DH,0,73,23,60,4,111,384,0.289,0,0,0,0,0.0,0.0,0,0.0,,Arizona Diamondbacks,Ketel Marte,2B,S,R
607192,T. Glasnow,,P,1,0,0,0,0,0,0,0.0,1,0,81,26,68.67,3.41,76,1.11,,Los Angeles Dodgers,Tyler Glasnow,P,L,R
694973,P. Skenes,DLC,P,1,0,0,0,0,0,0,0.0,9,0,187,38,167.0,2.05,159,0.95,,Pittsburgh Pirates,Paul Skenes,P,R,R
669203,C. Burnes,DDG,P,1,0,0,0,0,0,0,0.0,3,0,63,19,64.33,2.66,75,1.17,,Arizona Diamondbacks,Corbin Burnes,P,R,R
519242,C. Sale,,P,1,0,0,0,0,0,0,0.0,5,0,123,26,95.33,2.45,108,1.13,,Atlanta Braves,Chris Sale,P,L,L
808967,Y. Yamamoto,RGS,P,1,0,0,0,0,0,0,0.0,10,0,153,44,134.67,2.94,146,1.08,,Los Angeles Dodgers,Yoshinobu Yamamoto,P,R,R
657006,J. Steele,DVD,P,1,0,0,0,0,0,0,0.0,3,0,16,7,18.67,3.37,20,1.07,,Chicago Cubs,Justin Steele,P,L,L
645261,S. Alcantara,,P,1,0,0,0,0,0,0,0.0,7,0,113,92,140.99,5.87,190,1.35,,Miami Marlins,Sandy Alcantara,P,R,R
605483,B. Snell,TSH,P,1,0,0,0,0,0,0,0.0,3,0,38,10,37.33,2.41,51,1.37,,Los Angeles Dodgers,Blake Snell,P,L,L
808963,R. Sasaki,DMK,P,1,0,0,0,0,0,0,0.0,1,0,21,17,31.34,4.88,45,1.44,,Los Angeles Dodgers,Roki Sasaki,P,R,R
554430,Z. Wheeler,,P,1,0,0,0,0,0,0,0.0,10,0,195,45,149.67,2.71,140,0.94,,Philadelphia Phillies,Zack Wheeler,P,L,R
675911,S. Strider,DDG,P,1,0,0,0,0,0,0,0.0,5,0,105,53,96.34,4.95,133,1.38,,Atlanta Braves,Spencer Strider,P,R,R
657277,L. Webb,RGS,P,1,0,0,0,0,0,0,0.0,12,0,187,61,173.66,3.16,210,1.21,,San Francisco Giants,Logan Webb,P,R,R
668881,H. Greene,,P,1,0,0,0,0,0,0,0.0,5,0,94,24,77.0,2.81,75,0.97,,Cincinnati Reds,Hunter Greene,P,R,R
673540,K. Senga,LDY,P,1,0,0,0,0,0,0,0.0,7,0,103,33,108.68,2.73,140,1.29,,New York Mets,Kodai Senga,P,L,R
506433,Y. Darvish,DMK,P,1,0,0,0,0,0,0,0.0,3,0,42,30,47.67,5.66,53,1.11,,San Diego Padres,Yu Darvish,P,R,R
680885,S. Schwellenbach,,P,1,0,0,0,0,0,0,0.0,7,0,108,38,110.67,3.09,107,0.97,,Atlanta Braves,Spencer Schwellenbach,P,R,R
605400,A. Nola,SKD,P,1,0,0,0,0,0,0,0.0,3,0,66,46,64.0,6.47,96,1.5,,Philadelphia Phillies,Aaron Nola,P,R,R
